Class ID,Preferred Label,Synonyms,Definitions,API parent label,API parent combined definitions,API parent description,http://purl.org/dc/elements/1.1/description,http://www.w3.org/2000/01/rdf-schema#comment
http://purl.obolibrary.org/obo/ENVO_01001368,secondary aerosol formation process,secondary aerosol formation,An aerosol formation process during which solid or liquid particles are either 1) formed in a volume of gas through gas-to-liquid or gas-to-solid conversions or 2) increase in size through aggregation with other particles.,environmental system process,,A process in which includes the components of an environmental system as participants.,,
http://purl.obolibrary.org/obo/ENVO_01000265,hydrothermal seep,hot seep,A hydrothermal seep is a seep in which diffuse flow of geothermally heated fluids with high methane concentrations. This seep has been proposed as an intermediate between cold seeps and hydrothermal vents.,seep,A seep is a spring in which water has filtered through permeable earth to the surface. ; ,A seep is a spring in which water has filtered through permeable earth to the surface.,,
http://purl.obolibrary.org/obo/PO_0025538,plant sap,"植物液 (Japanese, exact)|savia de la planta (Spanish, exact)","A portion of plant substance (PO:0025161) that is an aqueous solution that can be transported through the apoplast (GO:0048046) or symplast (GO:0055044).|Plant sap should not be confused with latex, resins or plant cell cytoplasm.",portion of plant substance,,A portion of organism substance that is or was part of a plant.,,"Plant sap should not be confused with latex, resins or plant cell cytoplasm."
http://purl.obolibrary.org/obo/ENVO_00000244,abyssal plain,abyssal feature|Abyssalplain,A flat or very gently sloping areas of the deep ocean basin floor.,plain,"A region of general uniform slope, comparatively level, and of considerable extent. ; ","A region of general uniform slope, comparatively level, and of considerable extent.",,
http://purl.obolibrary.org/obo/ENVO_03501179,urology unit facility,urology ward,A hospital unit facility which is used to provide urological medicine services.,hospital unit facility,,A healthcare facility which 1) is located in part of a hospital and 2) is used by an organizational unit within a hospital.,,
http://purl.obolibrary.org/obo/UBERON_0010225,thalamic complex,,"A nuclear complex which in mammals consists of four parts, the hypothalamus, epithalamus, ventral thalamus, and dorsal thalamus[WP,modified].",gray matter of diencephalon,,,,
http://purl.obolibrary.org/obo/ENVO_03501283,conveyor belt,conveyor|belt conveyor system|belt conveyor,A device consisting of a continuous flexible band moved by a series of rollers to transport objects or material from one place to another.,manufactured product,,"A material entity that has been processed by humans or their technology in any way, including intermediate products as well as final products.",,
http://purl.obolibrary.org/obo/ENVO_01001339,diurnal marine tidal flow process,,"A tidal flow process which occurs once per day in ocean waters where a second daily oscillation is blocked by land masses or ocean basin geometry.|This class broadly aligns to the Coastal and Marine Ecological Classification Standard (CMECS). This class is provided as the processual equivalent of CMECS unit 664 ""Diurnal Tidal Flow"" (https://cmecscatalog.org/cmecs/classification/unit/664.html); however, based on its definition, CMECS:664 is more accurately mapped to ENVO:01001338 as the definition aligns with ENVO's ""environmental zone"" semantics. A class has been created to accommodate the  semantics of the resulting hydroform (ENVO:01001336). Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions.",marine tidal flow process,,"A tidal flow process which occurs in an ocean or sea and during which tidal movements generate advective flows, often amplified in velocity when moving through an inlet, pass or channel.",,"This class broadly aligns to the Coastal and Marine Ecological Classification Standard (CMECS). This class is provided as the processual equivalent of CMECS unit 664 ""Diurnal Tidal Flow"" (https://cmecscatalog.org/cmecs/classification/unit/664.html); however, based on its definition, CMECS:664 is more accurately mapped to ENVO:01001338 as the definition aligns with ENVO's ""environmental zone"" semantics. A class has been created to accommodate the  semantics of the resulting hydroform (ENVO:01001336). Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions."
http://purl.obolibrary.org/obo/ENVO_01000064,marine downwelling,,"A marine downwelling describes a net current of marine surface water towards deeper regions of the water column. Marine downwellings are usually caused by differences in the density (and hence, temperature and salinity) of seawater.",marine current,"A water current which is maintained by a continuous, directed movement of marine water, generated by forces caused by breaking waves, wind, Coriolis force, temperature and salinity differences, and tides caused by the gravitational pull of astronomical bodies. Depth contours, shoreline configurations and interaction with other currents influence a current's direction and strength. ; ","A water current which is maintained by a continuous, directed movement of marine water, generated by forces caused by breaking waves, wind, Coriolis force, temperature and salinity differences, and tides caused by the gravitational pull of astronomical bodies. Depth contours, shoreline configurations and interaction with other currents influence a current's direction and strength.",,
http://purl.obolibrary.org/obo/FOODON_00001006,mammalian meat food product,,"A food product made of meat, the skeletal muscle and associated fat, and other edible tissues such as organs, livers, skin, brains, bone marrow, kidneys, or lungs, of mammals.",vertebrate animal food product,,,,
http://purl.obolibrary.org/obo/CHEBI_27638,cobalt atom,,,metal allergen,,Any metal which causes the onset of an allergic reaction.,,
http://purl.obolibrary.org/obo/ENVO_02000097,gold ore,,,ore,,a type of rock that contains sufficient minerals with important elements including metals that can be economically extracted from the rock.,,
http://purl.obolibrary.org/obo/ENVO_00000350,somma volcano,,A volcanic caldera that has been partially filled by a new central cone.|This may be more a subclass of 'caldera',volcano,"An opening, or rupture, in the Earth's surface or crust, which allows hot, molten rock, ash and gases to escape from deep below the surface. ; ","An opening, or rupture, in the Earth's surface or crust, which allows hot, molten rock, ash and gases to escape from deep below the surface.",,This may be more a subclass of 'caldera'
http://purl.obolibrary.org/obo/CHEBI_33637,ortho-fused compound,,,fused compound,,A polycyclic compound that contains more than one ring with at least two common atoms (also known as bridgehead carbons) that are adjacent to each other.,,
http://purl.obolibrary.org/obo/ENVO_01001764,explosion-driven seismic vibration,,A seismic vibration process which is caused by an explosion.,seismic vibration process,A vibration process which occurs in the solid parts of an astronomical body as low-frequency acoustic waves pass through them. ; ,A vibration process which occurs in the solid parts of an astronomical body as low-frequency acoustic waves pass through them.,,
http://purl.obolibrary.org/obo/ENVO_03501345,temporary residence,,A human dwelling which is provided to one or more persons on a short-term basis.,human dwelling,"A self-contained constructed feature used by one or more households as a home, such as a house, apartment, mobile home, houseboat or other 'substantial' structure. A dwelling typically includes nearby outbuildings, sheds etc. within the curtilage of the property, excluding any 'open fields beyond'. It has significance in relation to search and seizure, conveyancing of real property, burglary, trespass, and land use planning. ; ","A self-contained constructed feature used by one or more households as a home, such as a house, apartment, mobile home, houseboat or other 'substantial' structure. A dwelling typically includes nearby outbuildings, sheds etc. within the curtilage of the property, excluding any 'open fields beyond'. It has significance in relation to search and seizure, conveyancing of real property, burglary, trespass, and land use planning.",,
http://purl.obolibrary.org/obo/ENVO_03000092,gas emission process,,A material transport process during which a portion of gaseous environmental material is transported into the atmosphere.,material transport process,,A process during which material is displaced from its original location and transported either to a new location or back to the original location.,,
http://purl.obolibrary.org/obo/ENVO_01000438,lava flow,,"A lava flow is a moving outpouring of lava, which is created during a non-explosive effusive eruption.",body of liquid,,,,
http://purl.obolibrary.org/obo/CHEBI_37332,tropane alkaloid,,,azabicycloalkane,,,,
http://purl.obolibrary.org/obo/ENVO_00000025,reservoir,covered reservoir|lake,"An artificial body of water, often contained by a dam, constructed for the purpose of water storage.",artificial lake,A lake purposefully constructed. ; ,A lake purposefully constructed.,,
http://purl.obolibrary.org/obo/ENVO_06105007,plastic film,plastic sheet|plastic membrane,"A piece of plastic which is flexible, thin, and planar.|The edge can be either smooth or angular.",piece of plastic,,A mass of solid material which is primarily composed of plastic.,,The edge can be either smooth or angular.
http://purl.obolibrary.org/obo/ENVO_03000089,permafrost crater derived from a methane explosion,gigantic funnel,A crater which is found in permafrost and formed as a result of an explosion fuelled by methane formerly contained in that permafrost.,crater,A generally circular saucer or bowl-shaped depression caused by explosive action. ; ,A generally circular saucer or bowl-shaped depression caused by explosive action.,,
http://purl.obolibrary.org/obo/ENVO_00002235,cambisol,,"Cambisols combine soils with at least an incipient subsurface soil formation. Transformation of parent material is evident from structure formation and mostly brownish discoloration, increasing clay percentage, and/or carbonate removal.",soil,"An environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, interstitial gases, liquids, and a broad range of resident micro- and macroorganisms. ; ","An environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, interstitial gases, liquids, and a broad range of resident micro- and macroorganisms.",,
http://purl.obolibrary.org/obo/ENVO_0010097,obsolete rice product,,,,,,,
http://purl.obolibrary.org/obo/ENVO_0010092,obsolete processed food product,,,,,,,
http://purl.obolibrary.org/obo/ENVO_0010090,obsolete honey product,,,,,,,
http://purl.obolibrary.org/obo/ENVO_0010095,obsolete bread,,,,,,,
http://purl.obolibrary.org/obo/ENVO_0010093,obsolete cooked food product,,,,,,,
http://purl.obolibrary.org/obo/ENVO_0010099,obsolete sorghum product,,,,,,,
http://purl.obolibrary.org/obo/ENVO_0010091,obsolete amaranthaceous inflorescence food product,,,,,,,
http://purl.obolibrary.org/obo/ENVO_0010098,obsolete buckewheat product,,,,,,,
http://purl.obolibrary.org/obo/ENVO_0010096,obsolete algal food product,,,,,,,
http://purl.obolibrary.org/obo/ENVO_0010094,obsolete pickled cruciferous food product,,,,,,,
http://purl.obolibrary.org/obo/ENVO_03500003,public sports field,,A sports facility which has been constructed for sports that require large outdoor spaces and is owned by a governmental or state entity and which is accessible by its citizenry (i.e. the public).,sports facility,,A building or region where sports activities can be carried out.,,
http://purl.obolibrary.org/obo/ENVO_01001617,snow accumulation process,,"A material accumulation process during which the mass of snow on a surface increases.|This term is used both as a process and as an amount of mass added. Semantically speaking these are two distinct concepts (e.g., accumulation results in accumulation_amount of ice or snow gain), though accumulation_amount would more likely be an attribute.

The scope of this term varies depending on the definition.  Some definitions constrain themselves snow or ice added to glaciers; while others also include ice fields, snow cover, and/or floating ice.  How to resolve this depends on the scope desired.

Some definitions include additional discussion of the the physics involved which would be useful for connecting glacier ontologies to atmospheric, hydrologic, etc. ontologies.  This information should be captured no matter how the inconsistencies above are resolved.",biological_process,,"A biological process represents a specific objective that the organism is genetically programmed to achieve. Biological processes are often described by their outcome or ending state, e.g., the biological process of cell division results in the creation of two daughter cells (a divided cell) from a single parent cell. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",,"This term is used both as a process and as an amount of mass added. Semantically speaking these are two distinct concepts (e.g., accumulation results in accumulation_amount of ice or snow gain), though accumulation_amount would more likely be an attribute.

The scope of this term varies depending on the definition.  Some definitions constrain themselves snow or ice added to glaciers; while others also include ice fields, snow cover, and/or floating ice.  How to resolve this depends on the scope desired.

Some definitions include additional discussion of the the physics involved which would be useful for connecting glacier ontologies to atmospheric, hydrologic, etc. ontologies.  This information should be captured no matter how the inconsistencies above are resolved."
http://purl.obolibrary.org/obo/ENVO_01001324,estuarine tidal riverine coastal pycnocline,,"An estuarine coastal pycnocline which is composed primarily of fresh tidal water.|This class aligns to the Coastal and Marine Ecological Classification Standard (CMECS). In ENVO, we may adapt the definition for consistency, but the semantics (meaning) of the term should be unaffected. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions.",estuarine coastal pycnocline,,"A pycnocline which is part of an estuarine water body, spanning from the shore to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters.",,"This class aligns to the Coastal and Marine Ecological Classification Standard (CMECS). In ENVO, we may adapt the definition for consistency, but the semantics (meaning) of the term should be unaffected. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions."
http://purl.obolibrary.org/obo/ENVO_00000451,amenity lake,,"A lake constructed, or modified, for the chief purpose of providing an amenity.",artificial lake,A lake purposefully constructed. ; ,A lake purposefully constructed.,,
http://purl.obolibrary.org/obo/CHEBI_134024,chlorofluorocarbon,,,organofluorine compound,,An organofluorine compound is a compound containing at least one carbon-fluorine bond.,,
http://purl.obolibrary.org/obo/ENVO_00000282,esker,ridge,"A long, winding ridge of stratified sand and gravel which occur in glaciated and formerly glaciated regions of Europe and North America.",ridge,A long and narrow elevation with steep sides. ; ,A long and narrow elevation with steep sides.,,
http://purl.obolibrary.org/obo/ENVO_00000458,valley glacier,,"A glacier which 1) flows for all or most of its length within the walls of a valley, in consequence having a distinct tongue and a well-defined outline and 2) descends from either high mountains, from an ice cap on a plateau, or from an ice sheet.|These glaciers typically flow down pre-existing valleys and have ice-free slopes overlooking the glacier surface.",glacier,"An ice mass which is of sufficient mass that the action of gravity upon it overcomes the frictional forces holding it in place, causing it to deform and flow towards lower elevation. ; ","An ice mass which is of sufficient mass that the action of gravity upon it overcomes the frictional forces holding it in place, causing it to deform and flow towards lower elevation.",,These glaciers typically flow down pre-existing valleys and have ice-free slopes overlooking the glacier surface.
http://purl.obolibrary.org/obo/ENVO_02000081,letter,,A written message from one person to another addressed to a person or organization.,information content entity,,,,
http://purl.obolibrary.org/obo/FOODON_00001266,camel milk beverage,,,camelid milk beverage,,,,
http://purl.obolibrary.org/obo/UBERON_0000033,head,cephalic area|adult head|head (volume),The head is the anterior-most division of the body [GO].,subdivision of organism along main body axis,"A major subdivision of an organism that divides an organism along its main body axis (typically anterio-posterior axis). In vertebrates, this is based on the vertebral column. ; ","A major subdivision of an organism that divides an organism along its main body axis (typically anterio-posterior axis). In vertebrates, this is based on the vertebral column.",,
http://purl.obolibrary.org/obo/ENVO_00000236,dambo,,"A class of complex shallow wetlands in central, southern and eastern Africa, particularly in Zambia and Zimbabwe. They are generally found in higher rainfall flat plateau areas, and have river-like branching forms which may be nowhere very large, but common enough to add up to a large area.",freshwater wetland ecosystem,A wetland which is inundated with water that contains low concentrations of salts. ; ,A wetland which is inundated with water that contains low concentrations of salts.,,
http://purl.obolibrary.org/obo/ENVO_01001027,acoustic radiation,,A radiation process during which mechanical waves generated by oscillations radiate through an environmental material.|The mechanical waves generated by this process are also referred to as pressure waves.,radiation,A process during which energy is emitted or transmitted in the form of waves or particles through space or a material medium. ; ,A process during which energy is emitted or transmitted in the form of waves or particles through space or a material medium.,,The mechanical waves generated by this process are also referred to as pressure waves.
http://purl.obolibrary.org/obo/ENVO_00002136,arsenate treated wood,,,treated wood,,,,
http://purl.obolibrary.org/obo/ENVO_01001631,groundwater discharge process,,A water flow process during which water flows out of an aquifer.,water flow process,,A material transport process during which a volume of liquid water is transported due to a disequilibria in physical forces.,,
http://purl.obolibrary.org/obo/UBERON_0000055,vessel,,"A tubular structure that contains, conveys body fluid, such as blood or lymph.",anatomical conduit,"Any tube, opening or passage that connects two distinct anatomical spaces. ; ","Any tube, opening or passage that connects two distinct anatomical spaces.",,
http://purl.obolibrary.org/obo/ENVO_01000227,tropical dry broadleaf forest biome,,A tropical dry broadleaf forest in which dominant ecological communities have reached their climax successional state.,tropical dry broadleaf forest,,A tropical broadleaf forest which 1) s subject to a year-round warm climate 2) may receive several hundred centimeters or rain per year and 3) are subject to long dry seasons which last several months.,,
http://purl.obolibrary.org/obo/ENVO_1000750,depositional island,,An island formed by deposition of solid material such as sand or small rocks where a water current loses some of its carrying capacity.,island,Area of dry or relatively dry land surrounded by water or low wetland. ; ,Area of dry or relatively dry land surrounded by water or low wetland.,,
http://purl.obolibrary.org/obo/ENVO_1000751,barrier island,,An island formed by the accumulation of sand deposited by sea currents on a continental shelves,depositional island,An island formed by deposition of solid material such as sand or small rocks where a water current loses some of its carrying capacity. ; ,An island formed by deposition of solid material such as sand or small rocks where a water current loses some of its carrying capacity.,,
http://purl.obolibrary.org/obo/CHEBI_35352,organonitrogen compound,,,nitrogen molecular entity,,,,
http://purl.obolibrary.org/obo/CHEBI_25367,molecule,neutral molecular compounds|molecules|molecula|Molekuel|molecule,Any polyatomic entity that is an electrically neutral entity consisting of more than one atom.,polyatomic entity,,Any molecular entity consisting of more than one atom.,,
http://purl.obolibrary.org/obo/CHEBI_38497,respiratory-chain inhibitor,,,electron-transport chain inhibitor,,,,
http://purl.obolibrary.org/obo/ENVO_01001140,ammonia ice,,Ice which is primarily composed of ammonia.,ice,,An ice is an environmental material which is either frozen or which is maintained in a solid state by gravitational forces or pressure.,,
http://purl.obolibrary.org/obo/ENVO_01001660,frost action process,,"A material transport process during which alternate freezing and thawing of moisture in soil, rock and other materials results  modifications of those materials and in the formation of structures on, or in, the ground.|Frost action in soils describes the processes of Frost Heave that occurs in the ground during the freezing period, and Thaw Weakening that occurs as the seasonally Frozen Ground thaws. Although it normally refers to seasonal freezing and thawing processes and effects, the term Frost action has also been used to describe the long-term heaving that occurs when soils are subjected continuously to a freezing temperature over a long period of time (years). Frost action contributes to the mechanical weathering (disintegration or breakdown) of soil and rock materials, by frost wedging, Cryoturbation activity, and to the development of cryotexture and cryogenic fabric in soils.",water flow process,,A material transport process during which a volume of liquid water is transported due to a disequilibria in physical forces.,,"Frost action in soils describes the processes of Frost Heave that occurs in the ground during the freezing period, and Thaw Weakening that occurs as the seasonally Frozen Ground thaws. Although it normally refers to seasonal freezing and thawing processes and effects, the term Frost action has also been used to describe the long-term heaving that occurs when soils are subjected continuously to a freezing temperature over a long period of time (years). Frost action contributes to the mechanical weathering (disintegration or breakdown) of soil and rock materials, by frost wedging, Cryoturbation activity, and to the development of cryotexture and cryogenic fabric in soils."
http://purl.obolibrary.org/obo/ENVO_01001851,geothermally active field,,"A field in which geothermal processes occur.|In many geothermally active fields, wells can be drilled to obtain elements contained in solution in hot brines or to tap heat energy.",field,An unbroken expanse (as of ice) ; ,An unbroken expanse (as of ice),,"In many geothermally active fields, wells can be drilled to obtain elements contained in solution in hot brines or to tap heat energy."
http://purl.obolibrary.org/obo/ENVO_01000203,environmental condition,,"An environmental condition is a range of a determinate quality or combination of qualities that are present in an environmental system.|A condition defines a restricted range of a given quality or combination of qualities. If an environment class, E, has_condition C, then all qualities listed in C are restricted to the ranges defined in C in E. This is not intended as a logical conditional.",physical quality,A quality of a physical entity that exists through action of continuants at the physical level of organisation in relation to other entities. ; ,A quality of a physical entity that exists through action of continuants at the physical level of organisation in relation to other entities.,,"A condition defines a restricted range of a given quality or combination of qualities. If an environment class, E, has_condition C, then all qualities listed in C are restricted to the ranges defined in C in E. This is not intended as a logical conditional."
http://purl.obolibrary.org/obo/ENVO_00002176,contaminated sludge,,,sludge,"The residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes. ; ","The residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes.",,
http://purl.obolibrary.org/obo/UBERON_0000047,simple eye,,An eye with one concave chamber. Note that 'simple' does not imply a reduced level of complexity or acuity.,eye,An organ that detects light. ; ,An organ that detects light.,,
http://purl.obolibrary.org/obo/NCBITaxon_2785011,Autobranchia,,,Bivalvia,,,,
http://purl.obolibrary.org/obo/ENVO_01000668,geological fault,fault,"A geological fault is a planar fracture or discontinuity in a volume of rock, across which there has been significant displacement as a result of rock mass movement.|The relationship between faults and active plate boundaries must be further developed, as there is some overlap.",geological fracture,"A geological fracture is any separation in a geologic formation, such as a joint or a fault that divides a mass of rock into two or more pieces. ; ","A geological fracture is any separation in a geologic formation, such as a joint or a fault that divides a mass of rock into two or more pieces.",,"The relationship between faults and active plate boundaries must be further developed, as there is some overlap."
http://purl.obolibrary.org/obo/ENVO_01001815,cell culturing,,Cell culturing is the aseptic maintainance and growth of collections of cells  outside of an organisms or natural environment in a suitable culture medium.,tissue culture,"Tissue culture is the culture of cells, tissues or organs in a nutrient medium under sterile conditions. ; ","Tissue culture is the culture of cells, tissues or organs in a nutrient medium under sterile conditions.",,
http://purl.obolibrary.org/obo/ENVO_00000085,alpine glacier,,A glacier contained in the site of a mountain valley.,glacier,"An ice mass which is of sufficient mass that the action of gravity upon it overcomes the frictional forces holding it in place, causing it to deform and flow towards lower elevation. ; ","An ice mass which is of sufficient mass that the action of gravity upon it overcomes the frictional forces holding it in place, causing it to deform and flow towards lower elevation.",,
http://purl.obolibrary.org/obo/CHEBI_33328,silicon oxoacid,,,silicon hydroxide,,,,
http://purl.obolibrary.org/obo/PATO_0001900,front,,A directional quality inhering in a bearer by virtue of the bearer's direction that is similar to the direction of an object to the south when it faces north.,direction,A physical quality inhering in a bearer by virtue of the bearer's orientation in space. ; ,A physical quality inhering in a bearer by virtue of the bearer's orientation in space.,,
http://purl.obolibrary.org/obo/PATO_0001901,back,,A directional quality inhering in a bearer by virtue of the bearer's direction that is similar to the direction of an object to the north when it faces south.,direction,A physical quality inhering in a bearer by virtue of the bearer's orientation in space. ; ,A physical quality inhering in a bearer by virtue of the bearer's orientation in space.,,
http://purl.obolibrary.org/obo/PATO_0001906,movement quality,,A physical quality inhering in a bearer by virtue of the bearer's participation in movement.,physical quality,A quality of a physical entity that exists through action of continuants at the physical level of organisation in relation to other entities. ; ,A quality of a physical entity that exists through action of continuants at the physical level of organisation in relation to other entities.,,
http://purl.obolibrary.org/obo/PATO_0001904,circling direction,,A directional quality inhering in a bearer by virtue of the bearer's direction approximating the shape of a circle.,direction,A physical quality inhering in a bearer by virtue of the bearer's orientation in space. ; ,A physical quality inhering in a bearer by virtue of the bearer's orientation in space.,,
http://purl.obolibrary.org/obo/PATO_0001903,bi-directional,,A directional quality inhering in a bearer by virtue of the bearer's having two directions.,direction,A physical quality inhering in a bearer by virtue of the bearer's orientation in space. ; ,A physical quality inhering in a bearer by virtue of the bearer's orientation in space.,,
http://purl.obolibrary.org/obo/PATO_0001902,unidirectional,,A directional quality inhering in a bearer by virtue of the bearer's having one direction only.,direction,A physical quality inhering in a bearer by virtue of the bearer's orientation in space. ; ,A physical quality inhering in a bearer by virtue of the bearer's orientation in space.,,
http://purl.obolibrary.org/obo/CHEBI_33340,zinc group element atom,,,d-block element atom,,,,
http://purl.obolibrary.org/obo/ENVO_01000134,hydrothermal fluid,,High temperature water ejected from hydrothermal vents and laden with dissolved metals and minerals as a result of percolation through crustal rocks.,leachate,"The liquid produced when water percolates through any permeable material. It can contain either dissolved or suspended material, or usually both. ; ","The liquid produced when water percolates through any permeable material. It can contain either dissolved or suspended material, or usually both.",,
http://purl.obolibrary.org/obo/ENVO_01001385,Bathymodiolus-dominated oceanic mussel reef,,"An oceanic mussel reef which is primarily settled by mussels of the genus Bathymodiolus and primarily composed of self-adhered or conglomerated mussel shells|This class is an extension of the Coastal and Marine Ecological Classification Standard (CMECS). It provides an oceanic analogue to the neritic mussel reef class (CMECS:338), with a focus on Bathymodiolus communities. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions.",oceanic mussel reef,,A marine reef which is present in the depths beyond (offshore relative to) the continental shelf and primarily composed of self-adhered or conglomerated mussel shells.,,"This class is an extension of the Coastal and Marine Ecological Classification Standard (CMECS). It provides an oceanic analogue to the neritic mussel reef class (CMECS:338), with a focus on Bathymodiolus communities. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions."
http://purl.obolibrary.org/obo/ENVO_01001803,tropical forest,,A forest ecosystem which is subject to tropical climate conditions.|This class is primarily to be populated by inference.,tropical environment,"An environment which has a climate with continually high temperatures and with considerable precipitation, at least during part of the year. ; ","An environment which has a climate with continually high temperatures and with considerable precipitation, at least during part of the year.",,This class is primarily to be populated by inference.
http://purl.obolibrary.org/obo/CHEBI_26079,phosphoric acid derivative,,,phosphorus oxoacid derivative,,,,
http://purl.obolibrary.org/obo/ENVO_01001221,office building,,"A commercial building which contains parts used as workplaces primarily for administrative and managerial workers.|""An office building will be divided into sections for different companies or may be dedicated to one company. In either case, each company will typically have a reception area, one or several meeting rooms, singular or open-plan offices, as well as toilets.""",commercial building,,A building which is primarily used to facilitate the buying or selling of goods or services.,,"""An office building will be divided into sections for different companies or may be dedicated to one company. In either case, each company will typically have a reception area, one or several meeting rooms, singular or open-plan offices, as well as toilets."""
http://purl.obolibrary.org/obo/FOODON_00001062,fermented millet food product,,,fermented cereal beverage,,,,
http://purl.obolibrary.org/obo/PATO_0000122,length,,A 1-D extent quality which is equal to the distance between two points.,1-D extent,,"A one dimensional extent is a dimensional extent in only one dimension, e.g. a length.",,
http://purl.obolibrary.org/obo/PATO_0000125,mass,,A physical quality that inheres in a bearer by virtue of the proportion of the bearer's amount of matter.,physical quality,A quality of a physical entity that exists through action of continuants at the physical level of organisation in relation to other entities. ; ,A quality of a physical entity that exists through action of continuants at the physical level of organisation in relation to other entities.,,
